Program,University/Hochschule,Location,Period Of Study,Area Of Study,Focus,Deadlines,Admission Semester,Annotation,Admission Modus,Admission requirements,Lecture period,Find Student advisory service,Links
AI Engineering of Autonomous Systems,Technische Hochschule Ingolstadt,Ingolstadt,3 semesters,Automation Technology | Vehicle Engineering | Artificial Intelligence,"Data Engineering, Machine Perception, Systems Engineering, Systems Simulation, Computing and Connectivity Technologies, Sensor Networks Technologies, Sensor Data Fusion",15.11.2025 - 15.01.2026 | 02.05.2026 - 15.07.2026,Summer and Winter Semester,-,Local admission restriction | https://www.thi.de/studium/studienbewerbung/masterbewerbung/,Aptitude assessment procedure: Details can be found on the degree programme website,01.10.2025 - 13.02.2026 | 16.03.2026 - 31.07.2026,- | https://www.thi.de/go/kontakt-studienorientierung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-ai-engineering-of-autonomous-systems-w67521/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w67521&hec-offset=0"
Applied Artificial Intelligence for Digital Production Management,Technische Hochschule Deggendorf,Cham,3 semesters,Artificial Intelligence,"Artificial Intelligence, Digital Production Management, Machine Learning, Intelligent Systems",01.10.2025 - 01.12.2025 | Expired,Summer and Winter Semester,-,Without admission restriction | https://www.th-deg.de/bewerbung,"The qualification for the Master's degree course in Applied Artificial Intelligence for Digital Production Management at the Cham location is proven by the completion of an undergraduate academic degree at a domestic or foreign university with at least 210 ECTS credits in the field of Industrial Engineering, Production Engineering, Mechatronics or a related degree course or an academic degree that is equivalent to such a certificate of academic degree. 
The aptitude test is carried out by means of an examination, the subject of which is complex tasks on relevant topics from mathematics for engineers as well as on questions from the fields of production and logistics, physics, computer science, statistics and simulation. This written admission examination, offered online and at the Cham campus of the Deggendorf University of Applied Sciences, is used to determine suitability for the specific degree course.",01.10.2025 - 25.01.2026 | 15.03.2026 - 10.07.2026,welcomeatth-deg.de | https://www.th-deg.de/studienorientierung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-applied-artificial-intelligence-for-digital-production-management-w67708/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w67708&hec-offset=1"
Applied Computer Science,Hochschule Schmalkalden,Schmalkalden,4 semesters,Applied Computer Science | Computer Science,-,01.02.2026 - 15.05.2026,Winter Semester only,-,Without admission restriction | https://www.hs-schmalkalden.de/studium/studienangebot-hs-schmalkalden/master-studiengaenge/applied-computer-science-msc,"An outstanding academic degree in the fields of informatics or related areas (bachelor’s degree, German diploma degree), or equivalent which should have in general a grade better than 2.5.
    Proof of English language ability for non-native speakers: e.g. ToEFL 550 (paper-based) resp. 213 (computer-based) resp. 79 (internet-based). Other language scores are considered as well.",06.10.2025 - 30.01.2026 | 07.04.2026 - 17.07.2026,studiumaths-schmalkalden.de | https://www.hs-schmalkalden.de/studieninteressierte,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/hochschule-schmalkalden-applied-computer-science-w60464/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w60464&hec-offset=2"
Applied Data Science,University of Göttingen,Göttingen,4 semesters,Applied Computer Science | Data Science,"Computational Neuroscience, Bioinformatics, Medical Data Science, Digital Humanities",01.09.2025 - 31.10.2025 (Universitywide deadline) | 01.03.2026 - 30.04.2026 (Universitywide deadline),Summer and Winter Semester,-,Local admission restriction,-,14.04.2025 - 18.07.2025 | 27.10.2025 - 13.02.2026,zentrale.studienberatungatuni-goettingen.de | https://www.uni-goettingen.de/de/1697.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-applied-data-science-w64855/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64855&hec-offset=3"
Applied Health Informatics and Digital Medicine,RWTH Aachen University,Aachen,4 semesters,Computer Science | Medical Informatics | Human Medicine,"Health Informatics, Digital Transformation, Data Management, Data Integration & Interoperability, Biostatistics & Ethics, Legal and Social Dimensions of Biomedical Informatics, Digital Health Applications, Machine Learning, Signal & Image Process, Innovations Management, Business Administration and Health Economics",The current semester dates are available at https://www.rwth-aachen.de/cms/root/studium/Im-Studium/~egv/Semestertermine/.,Winter Semester only,This course is not offered by RWTH Aachen University but by the RWTH International Academy under private law.,Without admission restriction | https://master-applied-health-informatics.com/de/?utm_source=portal&utm_medium=hk&utm_campaign=med,"- First academic degree, e.g. Bachelor of Science (BSc) in Computer Science, Mathematics or Natural Sciences or completed medical degree
- At least 1 year of professional experience in the field of medicine or computer science
- English language skills (level B2)",-,studienberatungatrwth-aachen.de | http://www.rwth-aachen.de/cms/root/Studium/Im_Studium/Beratung_Hilfe/~rcw/Abteilung_1_4_Zentrale_Studienberatung/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/rwth-aachen-university-applied-health-informatics-and-digital-medicine-w64193/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64193&hec-offset=4"
Applied Mathematics for Network and Data Sciences,Mittweida University of Applied Sciences,Mittweida,4 semesters,Applied Computer Science | Applied Mathematics,"Cryptography, Mathematical Network Analysis, Computational Intelligence, Data Compression",15.04.2026 - 15.07.2026,Winter Semester only,"Application for the 2024/2025 winter semester is no longer possible. 
If you have any questions about a current application, please contact the application service at bewerbung@hs-mittweida or application@hs-mittweida.de for international students. If you have any questions about the content, please contact the student advice office at studienberatung@hs-mittweida.de.",Without admission restriction | https://www.hs-mittweida.de/studienorientierung/bewerbung/,A first professionally qualifying degree or degree that is recognised as being equivalent.,17.03.2025 - 25.07.2025 | 29.09.2025 - 13.02.2026,studienberatungaths-mittweida.de | https://www.hs-mittweida.de,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/mittweida-university-of-applied-sciences-applied-mathematics-for-network-and-data-sciences-w41989/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w41989&hec-offset=5"
Artificial Intelligence,IU International University,Erfurt,4 semesters,Artificial Intelligence,"Artificial Intelligence, Advanced Mathematics, Advanced statistics, Machine Learning, Deep Learning",none,Admission in all quarters,"Artificial intelligence and machine learning are the future – many areas have already been conquered. In the distance learning Master's degree in Artificial Intelligence at the IU, become an expert in computer-based language and image processing, intelligent production in Industry 4.0 or for autonomous vehicles. While specific artificial intelligences have long since been in use in medicine and materials management, but the development of general AI that behaves similarly to humans still has a great deal of development potential, you will be able to work in innumerable areas as an AI specialist.",Without admission restriction | https://iu.prf.hn/click/camref:1101l4noP/creativeref:1101l40436,"You have completed an apprenticeship or further education, work experience or have already studied? Then let your previous achievements be recognized for the correspondence course! This way you save time as well as tuition fees - namely EUR 30 per recognized ECTS point.
\t
- Shortening your study time: Skip individual modules or entire semesters!
- Save on tuition: For every ECTS point you get you save EUR 30.

We will be happy to check before your application for distance learning whether and to what extent we can take your previous achievements into account: noncommittally and 100% online. Simply fill out our online recognition form.",-,- | -,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/iu-international-university-artificial-intelligence-w64135/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64135&hec-offset=6"
Artificial Intelligence,University of Erlangen-Nuremberg,Erlangen,4 semesters,Artificial Intelligence,"Computer Science, Symbolic AI, Subsymbolic AI, AI Systems & Applications",Closing date for applications for Master´s degree programmes: www.master.fau.de | Closing date for applications for Master´s degree programmes: www.master.fau.de,Summer and Winter Semester,-,Without admission restriction | https://www.fau.de/education/bewerbung/bewerbung-masterstudium/,Bachelor of a university or diploma or Master of a university of applied sciences\; Ask your contact person for details.,23.04.2025 - 25.07.2025 | 13.10.2025 - 06.02.2026,zsbatfau.de | https://www.zsb.fau.de,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-artificial-intelligence-w64654/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64654&hec-offset=7"
Artificial Intelligence,Brandenburgische Technische Universität Cottbus-Senftenberg,Cottbus,4 semesters,"Software Engineering | Engineering Informatics | Sensor Technology, Measurement Technology | Robotics | Artificial Intelligence | Data Science","Software Systems, Programming, Artificial Intelligence, Ethics, Society, Media, Machine Learning, Cognition and Perception",01.11.2025 - 15.01.2026 | 01.03.2026 - 15.07.2026,Summer and Winter Semester,-,Without admission restriction,-,07.04.2025 - 20.07.2025 | 13.10.2025 - 08.02.2026,studiumatb-tu.de | https://www.b-tu.de/studium/studienangebot,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/brandenburgische-technische-universitaet-cottbus-senftenberg-artificial-intelligence-w65719/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w65719&hec-offset=8"
Artificial Intelligence,Technische Hochschule Ingolstadt,Ingolstadt,3 semesters,Software Engineering | Computer Engineering | Artificial Intelligence | Data Science,"Voice Assistance Systems, Deep Learning, AI and Ethics, Intelligent Robots, AI in Safety-relevant Systems, Advanced Speech Technology, AI in Safety-Related Systems",15.11.2025 - 15.01.2026 | 02.05.2026 - 15.07.2026,Summer and Winter Semester,For the Dean's office opening hours see https://www.thi.de/informatik/studiengaenge-i/,Local admission restriction | https://www.thi.de/studium/studienbewerbung/masterbewerbung/,Assessment of aptitude,01.10.2025 - 13.02.2026 | 16.03.2026 - 31.07.2026,- | https://www.thi.de/go/kontakt-studienorientierung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-ingolstadt-artificial-intelligence-w66233/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w66233&hec-offset=9"
Artificial Intelligence,Lübeck University,Lübeck,6 semesters,Software Engineering | Artificial Intelligence,-,"separate application process
Please contact the International Office of the University of Lübeck. | separate application process
Please contact the International Office of the University of Lübeck.",Summer and Winter Semester,-,Without admission restriction | https://www.uni-luebeck.de/studium/studiengaenge/artificial-intelligence-weiterbildend/kennenlernen/bewerbung.html,"Bachelor's degree in a Computer Science, Business Informatics, Medical Informatics, Media Informatics, Software Engineering, IT Security and Data Science degree course or a closely related subject; Proof of practical professional experience of at least one year in software engineering, project management, systems engineering.",07.04.2025 - 25.07.2025 | 13.10.2025 - 06.02.2026,sabine.voigtatuni-luebeck.de | https://www.uni-luebeck.de/studium/studierenden-service-center/index.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/luebeck-university-artificial-intelligence-w67910/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w67910&hec-offset=10"
Artificial Intelligence and Data Analytics,University of Applied Sciences Neu-Ulm,Neu-Ulm,3 semesters,Information Systems and Management | International Business Administration,"Business Intelligence (BI), BI Strategy, BI Organisation, BI Architecture, Data Analysis, Big Data, Data Mining, Applied Statistics, IT Management",02.05.2026 - 15.07.2026,Winter Semester only,"The Master´s degree programme combines organisational knowledge with technological know-how. In addition to advanced knowledge of administration systems, sound knowledge of management concepts and supporting information technologies is taught that safeguards and improves the efficiency of companies. Here in particular, the focus is on Corporate Performance Management, which Business Intelligence (BI) uses to support all company operational areas.",Without admission restriction | https://www.hnu.de/studium/vor-dem-studium/bewerbung/bewerbungsverfahren-zulassung,"- completed university degree with 210 ECTS and grade 2.5 or better
- 25 ECTS from the field of Computer Science and Information Technology (IT) as well as Information Management
- Proof of English language skills level B2 according to CEFR
- Proof of German language skills level A1 according to CEFR",06.10.2025 - 21.01.2026 | 16.03.2026 - 03.07.2026,studienberatungathnu.de | https://www.hnu.de/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-neu-ulm-artificial-intelligence-and-data-analytics-w51935/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w51935&hec-offset=11"
Artificial Intelligence and Data Science,University of Düsseldorf,Düsseldorf,4 semesters,Artificial Intelligence | Data Science,"Machine Learning, Deep Learning, Reinforcement Learning, Natural Language Processing, Bayesian Statistics, Algorithmic Game Theory, Machine translation",05.05.2026 - 15.07.2026,Winter Semester only,Subject to accreditation,Local admission restriction | https://www.hhu.de/studium/bewerbung-und-einschreibung,-,07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,studierendenserviceathhu.de | http://www.uni-duesseldorf.de/home/studium-und-lehre-an-der-hhu/studium/studienberatung2/studierenden-service-center-alles-unter-einem-dach.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-duesseldorf-artificial-intelligence-and-data-science-w63894/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w63894&hec-offset=12"
Artificial Intelligence and Data Science,Technische Hochschule Deggendorf,Deggendorf,4 semesters,Computer Science | Data Science,"AI, Artificial intelligence (AI), Computational Intelligence, Advanced Data Storage and Analyses, Machine Learning",01.10.2025 - 01.11.2025,Summer Semester only,"Joint degree course with at least 1 mandatory semester in South Bohemia (Ceske Budejovice/Budweis). Czech Republic
Required Internship.",Without admission restriction | https://www.th-deg.de/bewerbung,"Bachelor's academic degree in AI, Data Science, Computer Science or similar
At least 18 ECTS from Artificial intelligence (AI) or Data Science degree programmes
English level B2",01.10.2025 - 25.01.2026 | 15.03.2026 - 10.07.2026,welcomeatth-deg.de | https://www.th-deg.de/studienorientierung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-artificial-intelligence-and-data-science-w64682/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64682&hec-offset=13"
Artificial Intelligence and Data Science for Digital Business Management,"Furtwangen University - computer science, technology, economics, media, health",Furtwangen,3 semesters,Engineering and Management | Computer Science | Mathematics | International Business Administration,"Programming & Software Engineering, Machine Learning & Applied Statistics, Business Operations & Logistics, Digital Performance Marketing & Automation, Agile Project Management & Design Thinking, Artificial Intelligence & Deep Learning, Business Intelligence for Big Data & MLOps, Electives, IT Architectures, Cloud & IT Management, eCommerce, CRM & Lead Management",Until 15.01.2026 (Universitywide deadline),Summer Semester only,"Excellent career and salary prospects in Germany and worldwide. Most of our students receive job offers before they get their academic degree.

AI is revolutionizing and driving the new business era. Our graduates are sought-after experts who understand both the technology and the economic aspects. You will benefit from a strong and growing job market in Germany and a solid salary level.

This Executive Master's degree programme uniquely positions graduates at the interface between innovative IT and digital business management. Typical professions are Data Scientist, Business Analyst, AI Consultant, AI Project Manager, Digital Business Developer, Digital Business Consultant, E-Commerce Manager, Performance Marketing Manager and IT System Administrator.

Companies value our graduates because they can quickly make themselves useful with a wide range of applicable knowledge. The hybrid form of the lectures supports the flexibility and mobility of our students to accept a working student position and continue their studies wherever the company is located.

Our international students and graduates work in world-leading companies such as Accenture, EY, KPMG, PWC, Deloitte, IBM, HP, SAP, Oracle, Vodafone, eBay, Amazon, Lufthansa, TUI, Expedia, Trivago, Audi, Porsche, Mercedes-Benz, Hugo Boss, Bosch, Siemens, Aldi and Lidl.

Prof. Dr. Pavel Rawe, PhD
Dean of Studies International Business Information Systems (BSc.) (IBS)
Consultation hours:  Appointment lists for booking office hours are posted on Prof. Rawe's office door - Building I, Room 2.09 No appointments are given online, by telephone or by email.",Local admission restriction | https://www.hs-furtwangen.de/studium/bewerbung,-,-,studienberatungaths-furtwangen.de | https://www.hs-furtwangen.de/zukunft-studieren/beratung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/furtwangen-university-computer-science-technology-economics-media-health-artificial-intelligence-and-data-science-for-digital-business-management-w72154/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w72154&hec-offset=14"
Artificial Intelligence and Intelligent Systems,University of Bremen,Bremen,4 semesters,Computer Science,-,identical with general or degree programme-specific deadlines,Winter Semester only,-,Local admission restriction | https://www.uni-bremen.de/master/,"Prerequisite for the admission to a Master's degree programme is the completion of a degree course on Bachelor’s degree level.
The subject-specific admission requirements are regulated in the current acceptance/admission regulations (see www.dbs.uni-bremen.de or www.uni-bremen.de/master).
These also include information about the different deadlines for submission of academic records.",07.04.2025 - 11.07.2025 | 13.10.2025 - 30.01.2026,studberatuni-bremen.de | https://www.zsb.uni-bremen.de/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bremen-artificial-intelligence-and-intelligent-systems-w70018/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w70018&hec-offset=15"
Artificial Intelligence and Machine Learning,Technical University of Darmstadt,Darmstadt,4 semesters,Engineering Informatics | Artificial Intelligence,"Foundations of Artificial Intelligence, AI Models and Methods, AI Systems, AI Domains and Applications",www.tu-darmstadt.de/application | www.tu-darmstadt.de/application,Summer and Winter Semester,"YouTube Playlist for Prospective Students: https://youtube.com/playlist?list=PLdr164frkwAurwsTk-XY7hljxFY-T6DQe 
Part-time study: www.teilzeitstudium.tu-darmstadt.de.",Without admission restriction | https://www.tu-darmstadt.de/studieren/studieninteressierte/bewerbung_zulassung_tu/bewerbung_master/index.de.jsp,"Es kann eine Eingangsprüfung verlangt werden, die vor Ort in Darmstadt stattfindet.",13.10.2025 - 13.02.2026 | 13.04.2026 - 17.07.2026,infoatzsb.tu-darmstadt.de | http://www.zsb.tu-darmstadt.de/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-artificial-intelligence-and-machine-learning-w69294/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w69294&hec-offset=16"
Artificial Intelligence Engineering,University of Passau,Passau,4 semesters,Applied Computer Science | Media Informatics | Computer Engineering | Applied Mathematics | Artificial Intelligence | Data Science,"Algorithm Engineering and Mathematical Modelling, Artificial Intelligence Methods, Artificial Intelligence System Engineering",01.11.2025 - 15.12.2025 | 01.04.2026 - 31.05.2026,Summer and Winter Semester,-,Local admission restriction | https://www.uni-passau.de/bewerbung-einschreibung,"Certificate of academic degree in computer science or mathematics with 120 ECTS credits in computer science and mathematics\;  
the subject proportion in Mathematics incl. Theoretical Computer Science must be at least 35 ECTS credits and in Computer Science at least 40 ECTS credits\;
Overall ""satisfactory"" (2.7) or among the best 70% of the graduating class",14.10.2024 - 07.02.2025 | 23.04.2025 - 25.07.2025,studienberatungatuni-passau.de | https://www.uni-passau.de/studienberatung/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-passau-artificial-intelligence-engineering-w64792/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64792&hec-offset=17"
Artificial Intelligence for Smart Sensors and Actuators,Technische Hochschule Deggendorf,Cham,3 semesters,Artificial Intelligence,"Artificial Intelligence, Machine Learning, Autonomous Systems, Sensor Technologies, Data-processing Methods",01.10.2025 - 01.12.2025 | Expired,Summer and Winter Semester,Place of study: Cham,Without admission restriction | https://www.th-deg.de/bewerbung,"Aptitude assessment procedure
Language requirements

The qualification for the Master's degree course in Artificial Intelligence for Smart Sensors and Actuators is proven by the completion of an undergraduate degree at a domestic or foreign university with at least 210 ECTS credits in the field of Mechatronics or a related degree course, or a degree that is equivalent to such a certificate of academic degree. The Examination Board will decide on the equivalence of qualifying degrees. Proof of specific aptitude for the course of study (aptitude test) is additionally required.",01.10.2025 - 25.01.2026 | 15.03.2026 - 10.07.2026,welcomeatth-deg.de | https://www.th-deg.de/studienorientierung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-artificial-intelligence-for-smart-sensors-and-actuators-w64814/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64814&hec-offset=18"
Automation and IT,Technische Hochschule Köln,Gummersbach,4 semesters,Automation Technology | Electrical Engineering | Computer Science | Artificial Intelligence,"Automation and Control Technology, Modelling and Simulation, Industrial Information and Communication Systems, IT Security, Engineering und Robotics",15.02.2026 - 30.04.2026,Winter Semester only,-,Without admission restriction | https://www.th-koeln.de/studium/automation--it-master--bewerbung_3442.php,"A relevant Diplom or Bachelor's degree from a university of applied sciences or university specialising in Engineering Sciences or Computer Science and an overall grade of at least 'good' (grade up to 2.5). 

Applicants must present their motivation for the Master's course in detail in a letter of motivation of approx. two pages in English. The letter of motivation is used to determine the applicant's aptitude for the course. Applications without a letter of motivation will not be considered. 

The determination of course-related aptitude is based on the final grade attained in the previous degree, the specialist focus of the previous degree and the letter of motivation.",20.03.2023 - 14.07.2023 | 22.09.2025 - 06.02.2026,studienberatungatth-koeln.de | https://www.th-koeln.de/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-koeln-automation-and-it-w23207/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w23207&hec-offset=19"
Automotive Software Engineering,Chemnitz University of Technology,Chemnitz,4 semesters,Design Engineering | Production Engineering | Software Engineering,"Automotive Software Technology, Embedded Systems, Real-time and Communication Systems, Computer Science",Expired | Expired,Summer and Winter Semester,-,Without admission restriction,-,13.10.2025 - 06.02.2026 | 06.04.2026 - 17.07.2026,studienberatungattu-chemnitz.de | http://www.tu-chemnitz.de/studierendenservice/zsb/kontakt.php,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/chemnitz-university-of-technology-automotive-software-engineering-w21156/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w21156&hec-offset=20"
Automotive Software Engineering,Technische Hochschule Deggendorf,Deggendorf,3 semesters,Automotive Engineering | Artificial Intelligence,"Automotive Computer Science, Software Engineering, Software-defined vehicle, Securecar, Autonomous driving, Driver Assistance Systems, Artificial Intelligence",01.10.2025 - 01.11.2025,Summer Semester only,"The automotive industry is one of the most important industries in Bavaria. In addition to large car and truck manufacturers, numerous supply companies are also located here. For the mobility of the future, more and more functions are being implemented via software in modern vehicles. In some cases, more than 200 control units are installed in a vehicle and up to 16 gigabytes of software data are imported. Software is therefore a crucial key component, which is why the industry is now talking about Software Defined Vehicles (SDV). This development requires highly complex systems with hardware and software components for more and more safety, comfort and entertainment on board, which in turn requires highly qualified experts for development and implementation.",Without admission restriction | https://www.th-deg.de/bewerbung,"- Bachelorabschluss in Informatik, Elektro- und Informationstechnik oder einem verwandten Fach.
- Erfolgreich absolvierter Einstellungstest und Auswahlgespräch.
- Sprachanforderungen
Die Zulassung ist in der Studien- und Prüfungsordnung festgelegt (§ 5 Qualifikation und Zugangsvoraussetzungen sowie Zulassung).",01.10.2025 - 25.01.2026 | 15.03.2026 - 10.07.2026,welcomeatth-deg.de | https://www.th-deg.de/studienorientierung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technische-hochschule-deggendorf-automotive-software-engineering-w71054/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w71054&hec-offset=21"
